FREQ,REF_AREA,MEASURE,ACTIVITY,STRI_TYPE,OBS_VALUE,TIME_PERIOD
A,POL,CLAS1_6,_Z,DIGITAL,.0793499052524567,2014
A,POL,CLAS1_7,_Z,DIGITAL,.0212373677641153,2014
A,POL,CLAS1_8,_Z,DIGITAL,0,2014
A,POL,CLAS1_9,_Z,DIGITAL,0,2014
A,POL,STRI,_Z,DIGITAL,.1225416511297226,2014
A,PRT,CLAS1_10,_Z,DIGITAL,.021954383701086,2014
A,PRT,CLAS1_6,_Z,DIGITAL,.0396749526262283,2014
A,PRT,CLAS1_7,_Z,DIGITAL,.0424747355282307,2014
A,PRT,CLAS1_8,_Z,DIGITAL,.0184034425765276,2014
A,PRT,CLAS1_9,_Z,DIGITAL,0,2014
A,PRT,STRI,_Z,DIGITAL,.1225075125694275,2014
A,PRY,CLAS1_10,_Z,DIGITAL,.021954383701086,2014
A,PRY,CLAS1_6,_Z,DIGITAL,.1983747631311417,2014
A,PRY,CLAS1_7,_Z,DIGITAL,.0424747355282307,2014
A,PRY,CLAS1_8,_Z,DIGITAL,0,2014
A,PRY,CLAS1_9,_Z,DIGITAL,0,2014
A,PRY,STRI,_Z,DIGITAL,.2628038823604584,2014
A,RUS,CLAS1_10,_Z,DIGITAL,.021954383701086,2014
A,RUS,CLAS1_6,_Z,DIGITAL,.1586998105049133,2014
A,RUS,CLAS1_7,_Z,DIGITAL,.0212373677641153,2014
A,RUS,CLAS1_8,_Z,DIGITAL,0,2014
A,RUS,CLAS1_9,_Z,DIGITAL,0,2014
A,RUS,STRI,_Z,DIGITAL,.2018915712833405,2014
A,RWA,CLAS1_10,_Z,DIGITAL,.1097719185054302,2014
A,RWA,CLAS1_6,_Z,DIGITAL,.119024857878685,2014
A,RWA,CLAS1_7,_Z,DIGITAL,.0424747355282307,2014
A,RWA,CLAS1_8,_Z,DIGITAL,.0184034425765276,2014
A,RWA,CLAS1_9,_Z,DIGITAL,.0216470900923014,2014
A,RWA,STRI,_Z,DIGITAL,.311322033405304,2014
A,SAU,CLAS1_10,_Z,DIGITAL,.0439087674021721,2014
